date,open,high,low,close,volume,name
2013-02-08,28.54,28.73,28.5,28.57,6316645,GM
2013-02-11,28.51,28.65,28.35,28.53,5589830,GM
2013-02-12,28.43,28.75,28.24,28.55,7175443,GM
